"track.id","track.name","track.artist","track.popularity","track.album.id","track.album.name","track.album.release_date","playlist_name","playlist_id","playlist_genero","playlist_subgenero","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
"5Mnyex5ZKe30IiaHXJ1562","La Distancia","Los Pericos",52,"0zw2MOywrEqrMOVXxWwHgi","La Distancia","2022-04-01","Vibra Tropical","37i9dQZF1DX3fXJqxGjuEP","latin","tropical",0.68,0.681,0,-4.987,1,0.0352,0.077,0.00000413,0.0865,0.945,159.964,227144
"5Mozz7NTj4EYK1d1mdP6I2","The Steeple","Halestorm",56,"31hmuzbX46koetZMTs5O0o","The Steeple","2022-02-04","Rock Hard","37i9dQZF1DWWJOmJ7nRx0C","rock","hard rock",0.43,0.981,5,-2.929,1,0.0744,0.00014,0.00000545,0.287,0.585,157.01,207445
"5mpUKTdskZea0gStWzeHUZ","Unsainted","Slipknot",73,"754RY5WpZ2LTUZsk8kDBju","We Are Not Your Kind","2019-08-09","Hard Rock & Heavy Metal ","3FdIr1hxVex2kDVUztbY0k","rock","hard rock",0.427,0.946,7,-2.188,1,0.0469,0.000118,0.0253,0.0604,0.237,101.305,260773
"5mQtZ1tv8of7sHwdOOiW6T","Sincero - Versión Salsa","Don Omar",54,"1z4qd96xvRzjc5MWONlsWG","Sincero","2022-02-18","Tropical Hits","37i9dQZF1DWYey22ryYM8U","latin","tropical",0.711,0.843,7,-6.919,0,0.0603,0.505,0.00000544,0.0855,0.3,89.992,185576
"5mqzhMuUpvnMfwNz6iepmO","Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) - from Deadpool 2","Diplo",68,"2onFbSBzB3f31hfCsAmw2g","Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) [from Deadpool 2]","2018-05-15","Trap Music 2022 🔥 Trap - Bass Remixes","5IbfwXajMFp5aNfmpHiTPa","rap","trap",0.618,0.845,2,0.175,1,0.132,0.114,0,0.415,0.486,171.921,181720
"5MREUK9W3AYQ1YNowow8s8","Safe Life","Alison Wonderland",47,"3oreus7GaQU4e1Hzv6CgE0","Loner","2022-05-06","Trap Nation","0NCspsyf0OS4BsPgGhkQXM","rap","trap",0.461,0.596,7,-5.895,0,0.0535,0.0256,0.0624,0.113,0.0713,148.142,199307
"5Ms8PC4YEHInOWrhj2QLw0","Prisoner in Disguise","The Souther-Hillman-Furay Band",27,"2B7aFxei2UhSAHbPWLXJRr","Trouble In Paradise","1975","Country Rock Classics","37i9dQZF1DX4bf0P6HTTom","rock","classic rock",0.564,0.32,4,-14.991,1,0.0269,0.044,0.000274,0.13,0.495,75.405,291987
"5MT96Zz0ymUJNm8obKZQr0","Soy Peor","Bad Bunny",0,"28xYvlMemVAzCBJdJVNqf9","Soy Peor","2016-12-08","Trap Classics","37i9dQZF1DX9ru0ROInnew","rap","trap",0.732,0.605,0,-3.15,0,0.086,0.679,0.0029,0.114,0.143,115.942,257328
"5MThVBmd0oOd1N90nSAYy9","Amor De Colegio","Héctor ""El Father""",37,"7ExbRfshuVShAfqEjfKQQs","Reggaeton Hitmakers Love Stories","2005-01-01","Reggaeton Oldschool 📻 Regueton Oldschool","1uESzGXc4wuPopo3uv3NwX","latin","reggaeton",0.803,0.823,1,-3.084,1,0.0427,0.0246,0.00000116,0.294,0.928,92.997,187347
"5MTqczrMNkxZbFghiopgHL","Wonderful","Ja Rule",0,"1IzGIg7yq3LsiP2kH0Yusz","R.U.L.E.","2004-01-01","Hip Hop 90's & 2000's - Classics","3RcRK9HGTAm9eLW1LepWKZ","rap","hip hop",0.663,0.777,11,-4.954,0,0.109,0.277,0,0.0466,0.758,92.681,270507
