"","rbd","media_mate","median_mate","media_leng","median_leng","porc_fem","nom_rbd","latitud","longitud","cod_com_rbd","nom_com_rbd","pago_matricula"
"343",9829,239.565385001046,240.369995117188,243.772717019786,244.690002441406,44.2477876106195,"COLEGIO MIGUEL DE CERVANTES",-33.5441277,-70.6558275,13109,"LA CISTERNA","GRATUITO"
"344",9834,226.837597438267,226,218.844338106822,212.675003051758,41.970802919708,"COLEGIO POLITEC. MARIA GRISELDA VALLE S.",-33.5730656,-70.66467134,13105,"EL BOSQUE","GRATUITO"
"345",9841,233.851153447078,235.104995727539,204.575185705114,202.850006103516,63.8297872340426,"ESCUELA PARTICULAR MIGUEL DE CERVANTES",-33.578723,-70.67261962,13105,"EL BOSQUE","GRATUITO"
"346",9844,244.04859954834,247.205001831055,239.532413351125,240.474998474121,44.6153846153846,"COLEGIO EL ALMENDRO",-33.57619368,-70.66334217,13105,"EL BOSQUE","GRATUITO"
"347",9845,289.41704489968,300.580001831055,261.816976502884,269.670013427734,48.8888888888889,"COLEGIO GRACE SCHOOL",-33.50157889,-70.68742747,13121,"PEDRO AGUIRRE CERDA","GRATUITO"
"348",9852,285.774791399638,285.314987182617,271.757550453653,272.599990844727,58.6538461538462,"ESCUELA PARTICULAR VILLA EL SOL",-33.55477057,-70.67009858,13105,"EL BOSQUE","GRATUITO"
"349",9853,196.262083212535,199.619995117188,208.819302581077,214.330001831055,42.2535211267606,"COLEGIO POLIV. SAINT TRINITY COLLEGE",-33.52988953,-70.69000169,13116,"LO ESPEJO","GRATUITO"
"350",9855,326.958949440404,328.614990234375,290.834361540966,302.450012207031,38.6363636363636,"COLEGIO PRINCESS ANNE SCHOOL",-33.520991,-70.66013,13109,"LA CISTERNA","MAS DE $100.000"
"351",9860,291.436616007487,298.709991455078,268.664151000977,275.079986572266,11.214953271028,"LICEO BICENTENARIO INDUSTRIAL DE ELECTROTECNIA RAMON B",-33.52119803,-70.65822211,13109,"LA CISTERNA","GRATUITO"
"352",9861,225.451428658622,238.320007324219,225.768683584113,218.194999694824,56.1643835616438,"CENTRO EDUC.MUNIC. DR. AMADOR NECHME R.",-33.47219812,-70.72080896,13106,"ESTACIÓN CENTRAL","GRATUITO"
"353",9862,217.477228674558,214.75,224.072210752047,219.270004272461,59.8591549295775,"LICEO BICENTENARIO POLIVALENTE A N°71 GUILLERMO FELIU CRUZ",-33.46382007,-70.70144017,13106,"ESTACIÓN CENTRAL","GRATUITO"
"354",9863,212.018253386967,200.470001220703,225.542192223954,220.100006103516,51.1627906976744,"LICEO SANTIAGO BUERAS Y AVARIA",-33.50527427,-70.75174176,13119,"MAIPÚ","GRATUITO"
"355",9864,219.970166778564,219.050003051758,211.092833709717,200.244995117188,54.4444444444444,"LICEO JOSE IGNACIO ZENTENO",-33.50340173,-70.76915488,13119,"MAIPÚ","GRATUITO"
"356",9865,191.355486469884,181.350006103516,190.30039855957,181.669998168945,43.1818181818182,"LICEO POLIVALENTE DR. LUIS VARGAS SALCEDO",-33.49895872,-70.73097771,13102,"CERRILLOS","GRATUITO"
"357",9866,216.768148210314,215.065002441406,203.197272144664,200.724998474121,45.9627329192547,"LICEO COMERCIAL B-72",-33.4642261,-70.70208185,13106,"ESTACIÓN CENTRAL","GRATUITO"
"358",9867,203.414410419346,205.740005493164,196.741747109287,191.444999694824,48.5943775100402,"CENTRO DE EDUC. TECN.PROFESIONAL CODEDUC",-33.50955924,-70.74725518,13119,"MAIPÚ","GRATUITO"
"359",9887,227.317499796549,214.95499420166,203.574781334918,192.279998779297,50,"ESCUELA EL LLANO DE MAIPU",-33.51665706,-70.75011595,13119,"MAIPÚ","GRATUITO"
